rowType,sessionId,timestamp,challengeId,challengeType,skill,eventName,attemptNumber,feedbackType,scaffoldLevel,relatedField,split,firstTryCorrect,independentSuccess,finalSuccess,attemptCount,hintCount,highestScaffoldLevel,selfCorrected,selectedSplitStrategy,subfactAccuracy,completionTimeMs,selectedSplit,partial1Attempts,partial2Attempts,partial1Outcome,partial2Outcome,supportUsed,supportType,supportOpened,supportCompleted,attentionCueShown,cueType,splitCueShown,addOneCueShown,plusDotCueShown,payload
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.283Z","split-6-7","split","decomposition","subfact_submitted","1","","","partA","[2,4]","","","","","","","","","","","","","","","","true","skip_count","","","","","","","","{""partialOutcome"":""correct_after_support"",""partialAttemptNumber"":1,""supportUsed"":true,""supportType"":""skip_count"",""relatedField"":""partA"",""value"":14,""correct"":true,""split"":[2,4]}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.283Z","split-6-7","split","decomposition","feedback_shown","1","success","0","partA","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""success"",""feedbackType"":""success"",""attemptNumber"":1,""scaffoldLevel"":0,""relatedField"":""partA"",""message"":""This part matches its rows."",""timestamp"":""2026-09-21T17:12:54.283Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.283Z","split-6-7","split","decomposition","subfact_submitted","1","","","partB","[2,4]","","","","","","","","","","","","","","","","false","","","","","","","","","{""partialOutcome"":""incorrect"",""partialAttemptNumber"":1,""supportUsed"":false,""supportType"":null,""relatedField"":""partB"",""value"":27,""correct"":false,""split"":[2,4]}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.283Z","split-6-7","split","decomposition","feedback_shown","1","wrong_subfact","1","partB","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""wrong_subfact"",""feedbackType"":""wrong_subfact"",""attemptNumber"":1,""scaffoldLevel"":1,""relatedField"":""partB"",""message"":""Look at this part: 4 rows of 7. Use Show how if you need a method."",""timestamp"":""2026-09-21T17:12:54.283Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.534Z","split-6-7","split","decomposition","answer_changed_after_feedback","1","","1","partB","","","","","","","","","","","","","","","","","","","","","","","","","","{""relatedField"":""partB"",""previousFeedbackType"":""wrong_subfact"",""scaffoldLevel"":1}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.571Z","split-6-7","split","decomposition","subfact_submitted","2","","","partA","[2,4]","","","","","","","","","","","","","","","","true","skip_count","","","","","","","","{""partialOutcome"":""correct_after_support"",""partialAttemptNumber"":2,""supportUsed"":true,""supportType"":""skip_count"",""relatedField"":""partA"",""value"":14,""correct"":true,""split"":[2,4]}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.571Z","split-6-7","split","decomposition","feedback_shown","2","success","0","partA","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""success"",""feedbackType"":""success"",""attemptNumber"":2,""scaffoldLevel"":0,""relatedField"":""partA"",""message"":""This part matches its rows."",""timestamp"":""2026-09-21T17:12:54.571Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.572Z","split-6-7","split","decomposition","subfact_submitted","2","","","partB","[2,4]","","","","","","","","","","","","","","","","false","","","","","","","","","{""partialOutcome"":""correct_after_retry"",""partialAttemptNumber"":2,""supportUsed"":false,""supportType"":null,""relatedField"":""partB"",""value"":28,""correct"":true,""split"":[2,4]}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.572Z","split-6-7","split","decomposition","feedback_shown","2","success","0","partB","","","","","","","","","","","","","","","","","","","","","","","","","","{""type"":""success"",""feedbackType"":""success"",""attemptNumber"":2,""scaffoldLevel"":0,""relatedField"":""partB"",""message"":""This part matches its rows."",""timestamp"":""2026-09-21T17:12:54.572Z""}"
"event","7f6f2430-cab0-4c37-80fc-94226a112411","2026-09-21T17:12:54.844Z","split-6-7","split","decomposition","control_changed","2","","","","[2,4]","","","","","","","","","","","","","","","","","","","","","","","","","{""control"":""join"",""split"":[2,4]}"
